,class
5557,neg
22562,neg
9812,neg
35127,neg
32036,neg
6347,neg
7916,neg
27784,neg
18476,neg
9010,neg
29105,neg
34332,neg
35147,neg
33272,neg
17844,neg
24496,neg
7512,neg
15201,neg
18901,neg
6161,neg
6047,neg
4245,neg
10899,neg
10917,pos
9361,neg
25408,neg
30217,neg
4299,neg
33602,neg
32705,neg
15667,neg
10942,neg
12564,neg
20795,neg
23599,neg
11916,neg
24182,neg
34495,neg
15279,neg
34597,neg
21521,neg
10910,neg
1039,neg
27509,neg
34628,neg
22960,pos
33035,neg
2173,neg
25065,neg
34611,neg
8507,neg
32346,neg
35014,neg
34129,neg
35025,neg
19437,neg
18020,neg
8433,neg
13051,neg
18117,neg
15541,neg
3639,neg
24735,neg
9920,neg
26716,neg
10746,neg
17395,neg
7723,neg
13256,neg
28148,neg
5792,neg
5352,neg
20914,neg
34314,neg
6457,neg
16362,neg
14178,neg
16536,neg
27593,neg
13573,neg
9961,pos
4689,neg
2610,neg
4452,neg
27390,neg
9960,neg
31871,neg
20387,neg
35593,neg
33295,neg
21914,neg
8070,neg
26067,neg
12169,neg
5688,neg
11340,neg
6421,neg
36005,neg
27386,neg
14792,neg
32375,neg
3325,neg
10868,neg
35864,neg
8382,neg
17645,neg
30972,neg
10791,neg
19340,neg
4729,neg
28589,neg
34526,neg
19524,neg
7652,neg
24030,neg
18765,neg
22341,neg
8596,neg
15611,neg
35998,neg
4221,neg
5384,neg
13531,neg
27997,neg
33100,neg
33387,pos
6701,neg
34949,neg
12239,neg
9192,neg
33325,pos
25262,neg
11417,neg
33218,neg
16389,neg
26626,neg
26518,neg
33020,neg
19694,neg
25954,neg
12318,neg
33726,neg
8102,neg
13428,neg
25373,neg
21428,neg
27761,neg
20432,neg
21591,pos
30942,neg
19078,neg
30956,neg
30126,neg
11096,neg
21992,neg
11511,neg
1959,neg
2957,neg
34986,neg
532,neg
21010,neg
22433,neg
8585,neg
30870,neg
21664,pos
20117,neg
28464,neg
14845,neg
10127,neg
35979,neg
34324,neg
27111,neg
8173,neg
17464,neg
33705,neg
24082,neg
27266,neg
18342,neg
36071,neg
17466,neg
29882,neg
32053,neg
17834,neg
31366,neg
18812,neg
169,pos
25380,neg
34330,neg
10914,neg
17295,neg
8055,neg
15398,neg
31337,neg
15863,neg
22501,neg
23138,neg
35049,neg
34643,neg
2923,neg
34740,neg
11349,neg
10143,neg
23422,neg
19659,neg
13744,neg
18486,neg
16944,neg
13755,neg
24986,neg
8042,neg
12342,neg
17851,neg
3318,neg
847,neg
2813,neg
19975,neg
8708,neg
7793,neg
26177,neg
8779,neg
19250,neg
17437,neg
20053,neg
24934,neg
18989,neg
19854,neg
35347,neg
22957,neg
34261,neg
6327,neg
17241,neg
6322,neg
7245,neg
342,pos
5683,neg
2315,neg
10399,neg
29386,neg
8301,neg
1833,neg
15484,neg
23389,neg
23752,neg
32905,neg
35341,neg
28685,pos
29010,neg
21773,neg
27075,neg
29139,neg
12185,neg
24773,neg
4274,neg
4300,neg
28635,neg
6783,neg
34523,neg
7411,neg
32017,neg
17481,neg
31646,neg
5259,neg
2978,neg
28444,neg
17243,neg
1327,neg
20704,neg
7524,neg
23587,neg
18791,neg
30357,neg
2399,neg
28709,neg
25645,neg
26676,neg
6471,neg
24869,neg
22990,neg
6424,neg
8339,neg
12417,neg
25042,neg
11385,neg
32044,neg
31522,neg
11800,neg
27889,neg
20945,neg
18679,neg
8809,neg
26740,neg
962,neg
10077,neg
9807,neg
18817,neg
13885,neg
5820,neg
11089,neg
1615,neg
5324,neg
30974,neg
27295,neg
33436,neg
4741,neg
16488,neg
32538,neg
22963,neg
19503,neg
22461,neg
32241,neg
22954,neg
25201,neg
20588,neg
10518,neg
32075,neg
31371,neg
28894,neg
22323,neg
15285,neg
486,neg
27128,neg
10129,neg
13983,neg
4126,neg
21922,neg
30079,neg
14638,neg
3390,neg
32584,neg
5359,pos
25688,neg
24267,neg
18831,neg
30258,neg
26664,neg
25241,neg
30783,neg
3791,neg
18295,neg
25237,neg
7221,neg
6343,neg
24080,neg
5423,neg
27006,neg
25105,neg
9760,neg
23024,neg
23019,neg
34807,neg
28164,neg
18707,neg
5500,neg
25005,neg
741,neg
34569,neg
33103,neg
2455,neg
2719,neg
27314,pos
18452,neg
7500,neg
26625,neg
8801,neg
10152,neg
7875,neg
21136,neg
7148,neg
30919,neg
22337,neg
29306,neg
34157,neg
13429,neg
17689,neg
17142,neg
8188,neg
26000,neg
35246,neg
29009,neg
7839,neg
33535,neg
2369,neg
33721,neg
30455,neg
19771,neg
18335,neg
2316,neg
6627,neg
4768,neg
12766,neg
25050,neg
5085,neg
1194,neg
32809,neg
17738,neg
21792,neg
24963,neg
33906,neg
7433,neg
20306,neg
29833,neg
27496,neg
13369,neg
31440,neg
5486,neg
23901,neg
12810,neg
30196,neg
12028,neg
30794,neg
15616,neg
326,pos
6827,neg
34068,neg
24048,neg
34237,neg
11054,neg
8138,neg
34466,neg
29770,neg
25959,neg
1084,neg
15252,neg
30124,neg
26017,neg
4809,neg
15442,neg
8548,neg
18427,neg
18015,neg
1608,neg
21886,neg
24139,neg
24298,neg
14788,neg
21436,neg
34163,neg
34916,neg
17496,neg
27994,neg
19805,neg
16908,neg
14919,neg
17360,neg
3452,neg
24336,neg
10420,neg
35820,neg
22347,neg
6458,neg
30548,neg
12317,neg
17671,neg
2185,neg
28035,neg
690,neg
19102,neg
18868,neg
15771,neg
7784,neg
8853,neg
2344,neg
12329,neg
23167,neg
28551,neg
19327,neg
15464,neg
18416,neg
3073,neg
19619,neg
7083,neg
29853,neg
21235,neg
34918,neg
19923,neg
25275,neg
19332,neg
12748,neg
1950,neg
32372,neg
14747,neg
28762,neg
602,neg
2197,neg
6762,neg
17488,neg
31153,neg
35697,neg
5228,neg
8838,neg
16584,neg
2889,neg
19925,neg
19308,neg
15262,neg
7551,neg
20766,neg
11673,neg
19704,neg
2120,neg
35297,neg
17532,neg
7731,neg
14042,neg
27124,neg
26495,neg
431,pos
8069,neg
22385,neg
23956,neg
5092,neg
3637,neg
11488,neg
16546,neg
29939,neg
12191,neg
31246,neg
31469,neg
5345,neg
3513,pos
23893,neg
5099,neg
18377,neg
23220,neg
12125,neg
31591,neg
6715,neg
18371,neg
714,neg
19047,neg
32422,neg
22200,neg
14882,neg
35186,neg
26399,neg
33796,neg
24854,neg
2477,neg
3026,neg
19483,neg
34783,neg
28802,neg
24323,neg
34193,neg
1345,neg
18930,neg
15386,neg
24093,neg
17045,neg
26650,neg
5226,neg
20463,neg
22140,neg
10321,neg
10412,neg
28813,neg
25304,neg
29815,neg
9717,neg
5700,neg
1689,neg
16376,neg
11422,neg
2985,neg
3868,neg
34677,neg
18740,neg
13884,neg
153,pos
2289,neg
17571,neg
22142,neg
29202,neg
10222,neg
6714,neg
6847,neg
25890,neg
11451,neg
33956,neg
14052,neg
4907,neg
27673,neg
33032,neg
31679,neg
15292,neg
1011,neg
7025,neg
21066,neg
25854,neg
32515,neg
13273,neg
21290,neg
13785,neg
27868,neg
5854,neg
15861,neg
20757,neg
12556,neg
6186,neg
2793,neg
15889,neg
9614,neg
5656,neg
16636,neg
17543,neg
21388,neg
25661,neg
35265,neg
3691,neg
17644,neg
10032,neg
15761,neg
1393,neg
7535,neg
5601,neg
27731,neg
21283,neg
8320,neg
16208,neg
1407,pos
25880,neg
23562,neg
1734,neg
22160,neg
24286,neg
25757,neg
19390,neg
13732,neg
4187,neg
18322,neg
30298,neg
8817,neg
27817,neg
27979,neg
35278,neg
15460,neg
16922,neg
30822,neg
16842,neg
5518,neg
3510,neg
24306,neg
10339,neg
6585,neg
18699,neg
26477,neg
34037,neg
29248,neg
30269,neg
14869,neg
28533,neg
10149,neg
25656,neg
4673,neg
12298,neg
34648,neg
21929,neg
23355,neg
14084,neg
27648,neg
12985,neg
6613,neg
33001,neg
21157,neg
28547,neg
31667,neg
29665,neg
23886,neg
30647,neg
27332,neg
10515,neg
27224,neg
10580,neg
30184,neg
22579,neg
35502,neg
17350,neg
19457,neg
22311,neg
13252,neg
2439,neg
10206,neg
9143,neg
31037,neg
7268,neg
5984,neg
2707,neg
16428,neg
6219,neg
22747,neg
3579,neg
31974,neg
23259,neg
13799,neg
23264,neg
10678,neg
26081,neg
2646,neg
6918,neg
33414,neg
20907,neg
33043,neg
1456,neg
28561,neg
20930,neg
30346,neg
30653,neg
2046,neg
6285,neg
7103,neg
28316,neg
5021,neg
35637,neg
6008,neg
1358,neg
812,neg
36146,neg
26776,neg
24035,neg
14619,neg
27891,neg
10603,neg
23034,neg
16447,neg
9073,neg
23091,neg
16822,neg
944,neg
24511,neg
22369,neg
23727,neg
31647,neg
1179,neg
19751,neg
30328,neg
35298,neg
31016,neg
23401,neg
32303,neg
16222,neg
10529,neg
1246,neg
23532,neg
10009,neg
27072,neg
3003,neg
10248,neg
31244,neg
15373,neg
5166,neg
1253,neg
18216,neg
25325,neg
8819,neg
32651,neg
69,pos
2880,neg
9543,neg
12663,neg
25135,neg
27749,neg
25782,neg
23627,neg
100,pos
24040,neg
33417,neg
27676,neg
20643,neg
15176,neg
27446,neg
20932,neg
15699,pos
29970,neg
715,neg
33071,neg
31836,neg
10503,neg
10745,neg
27897,neg
4272,neg
31495,neg
9627,neg
8043,neg
19288,neg
14428,neg
33599,neg
22225,neg
8825,neg
23822,neg
22059,neg
4344,neg
7339,neg
34294,neg
25058,neg
7167,pos
20937,neg
23750,neg
25650,neg
20398,neg
18649,neg
10533,neg
31229,neg
18956,neg
22321,neg
32221,neg
22265,neg
4991,neg
19946,neg
36042,neg
34680,neg
26183,neg
20934,neg
7578,neg
114,pos
701,neg
18841,neg
6818,neg
27180,neg
33336,neg
29511,neg
2074,neg
11431,neg
13437,neg
25899,neg
10402,neg
12775,neg
10250,neg
34510,neg
26899,neg
458,neg
12418,neg
25444,neg
3924,neg
34685,neg
35964,neg
7392,neg
34827,neg
25823,neg
24866,neg
7038,neg
16004,neg
17909,neg
30049,neg
2520,neg
11971,neg
4571,neg
31259,neg
3236,neg
21430,neg
17186,neg
6080,neg
11674,neg
826,neg
27905,neg
10131,neg
27044,neg
1142,neg
5015,neg
26138,neg
28569,pos
35527,neg
21327,neg
33664,neg
11183,neg
11942,neg
3227,neg
13972,neg
12982,neg
4440,pos
32535,neg
29302,neg
31072,neg
6295,neg
35842,neg
16081,neg
21141,neg
27984,neg
14551,neg
13374,neg
11862,neg
21413,neg
18381,neg
6252,neg
19843,neg
5648,neg
282,pos
25404,neg
14483,neg
16516,neg
32415,neg
13118,neg
9318,neg
17947,neg
31278,neg
3159,neg
18366,neg
29151,neg
16209,neg
4857,neg
26045,neg
32391,neg
35453,neg
24674,neg
9820,neg
29254,neg
22666,neg
22945,neg
15955,neg
29587,neg
20885,neg
29283,pos
13133,neg
27189,neg
23825,neg
35010,neg
22319,neg
18001,neg
20746,neg
26680,neg
29697,neg
17962,neg
21552,neg
9952,neg
18060,neg
2415,neg
2165,neg
29999,neg
9629,neg
30572,neg
5414,neg
32353,neg
16810,neg
31079,neg
30736,neg
4552,neg
8799,neg
35992,neg
17006,neg
2640,neg
15696,neg
26200,neg
2859,neg
19641,neg
4930,neg
23510,neg
9944,neg
1487,neg
18653,neg
24748,neg
35767,neg
3723,neg
26503,neg
16408,neg
28767,neg
19397,neg
16820,neg
2814,neg
26257,neg
28475,neg
30421,neg
16836,neg
30854,neg
14860,neg
10977,neg
8489,neg
27985,neg
19160,neg
32706,neg
7866,neg
30508,neg
6747,neg
15371,neg
4874,neg
17884,neg
5885,neg
21597,neg
1024,neg
4307,neg
16136,neg
11721,neg
24665,neg
30429,neg
23472,neg
12472,neg
18838,neg
28937,neg
17910,neg
32289,neg
28990,neg
27520,neg
24715,neg
27571,neg
30394,neg
20201,neg
32224,neg
36098,neg
19752,neg
28483,neg
22092,neg
28804,neg
11157,neg
34675,neg
5783,neg
33183,neg
32656,neg
10257,neg
13192,neg
9209,neg
21533,neg
496,neg
23547,neg
19829,neg
33932,neg
237,pos
26385,neg
30277,neg
29627,neg
26837,neg
14336,neg
27552,neg
26283,neg
3472,neg
3727,neg
31261,neg
8736,neg
32776,neg
33815,neg
30531,neg
16681,neg
22673,neg
28052,neg
11583,neg
14443,neg
6299,neg
9660,neg
31301,neg
4987,neg
25030,neg
31817,neg
18172,neg
33539,neg
18465,neg
35045,neg
984,neg
24529,neg
30536,neg
668,neg
29082,neg
27369,neg
12174,neg
17404,neg
23500,neg
14258,neg
17417,neg
18888,neg
14969,neg
32935,neg
3327,pos
31120,neg
6791,neg
31891,neg
13226,neg
14017,neg
18532,neg
23799,pos
35096,neg
21657,neg
26582,neg
13258,neg
28932,neg
28821,neg
7929,neg
9917,neg
34802,neg
5563,neg
10842,neg
24172,neg
29163,neg
12060,neg
35533,neg
7073,neg
20330,neg
20488,neg
28712,neg
25085,neg
25075,neg
2573,neg
11143,neg
14415,neg
8218,neg
26829,neg
26997,neg
29775,neg
15392,neg
6584,neg
28323,neg
34920,neg
34074,neg
30716,neg
2922,neg
26990,neg
6770,neg
15912,neg
13507,neg
885,neg
11442,neg
18314,neg
13413,neg
27776,neg
16122,neg
9453,neg
31925,neg
21726,neg
30004,neg
20881,neg
31592,neg
20039,neg
12842,neg
3913,neg
9690,neg
31635,neg
11590,neg
33142,neg
28142,neg
6447,neg
16990,neg
479,neg
6907,neg
23785,neg
15692,neg
32997,neg
31297,neg
23991,neg
17511,neg
31081,neg
27726,neg
29612,neg
19983,neg
27806,neg
14693,neg
3461,neg
20744,neg
35309,neg
16003,neg
16405,neg
14211,neg
31964,neg
11738,neg
4746,neg
27303,neg
10940,neg
21078,neg
25605,neg
26429,neg
7525,neg
12065,neg
7853,neg
4303,neg
20894,neg
21158,neg
25818,neg
6812,pos
24812,neg
24316,neg
31480,neg
20759,neg
25307,neg
7778,neg
12902,neg
14371,neg
14938,neg
17650,neg
28236,neg
29449,neg
8632,pos
32546,neg
19432,neg
13765,neg
34232,neg
10368,neg
13610,neg
17268,neg
14386,neg
10947,neg
19046,neg
9082,neg
18063,neg
35622,neg
30029,neg
7558,neg
35752,neg
30690,neg
27901,neg
19772,neg
5655,neg
25033,neg
16159,neg
33780,neg
115,pos
10514,neg
27426,neg
34183,neg
3436,neg
31029,neg
5258,neg
29239,neg
6548,neg
21871,neg
23868,neg
1363,neg
24107,neg
13398,neg
200,pos
2577,neg
33397,neg
19900,neg
6978,neg
17062,neg
23050,neg
13640,neg
27741,neg
2666,neg
11733,neg
12351,neg
1472,neg
34070,neg
18300,neg
30901,neg
2722,neg
12633,neg
10669,neg
10556,neg
6496,neg
3367,neg
35310,neg
836,neg
22067,neg
12913,neg
28843,neg
17587,neg
28643,neg
21784,neg
9580,neg
9726,neg
27704,neg
31808,neg
8875,neg
2227,neg
27168,neg
27607,neg
16683,neg
13129,neg
7851,neg
16022,neg
22237,neg
33576,neg
5859,neg
1046,neg
20553,neg
25562,neg
18860,neg
11179,neg
34898,neg
19018,neg
35899,neg
22903,neg
21911,neg
26805,neg
16240,neg
31504,neg
25326,neg
6469,neg
2106,neg
4390,neg
7908,neg
35882,neg
10694,neg
168,pos
14282,neg
23723,neg
21500,neg
12177,neg
2844,neg
6661,neg
8273,neg
24156,neg
35415,neg
519,neg
2587,neg
220,pos
7506,neg
35458,neg
10417,neg
32959,neg
31713,neg
4884,neg
9149,neg
17264,neg
34316,neg
20957,neg
5070,neg
25147,neg
24327,neg
11782,neg
2146,neg
23699,neg
446,pos
22832,neg
24365,neg
33132,neg
23345,neg
3211,neg
36183,neg
25109,neg
7529,neg
9198,neg
17656,neg
32750,neg
30440,neg
11557,neg
19816,neg
30869,neg
19329,neg
20081,neg
34472,neg
21286,neg
25857,neg
5434,neg
17381,neg
14004,neg
27879,neg
10773,neg
10713,neg
5643,neg
34176,neg
29265,neg
24680,neg
30573,neg
18984,neg
33298,neg
15149,neg
13228,neg
22559,neg
32345,neg
19812,neg
27752,neg
17889,neg
5755,neg
35182,neg
20259,neg
16486,neg
23505,neg
20521,neg
2590,neg
36052,neg
1603,neg
14270,neg
16599,neg
31094,neg
32249,neg
21218,neg
6465,neg
7628,neg
25376,neg
7664,neg
8987,neg
21797,neg
19832,neg
25430,neg
8378,neg
25710,neg
9508,neg
19863,neg
34512,neg
15914,neg
1556,neg
24349,neg
24594,neg
6502,neg
33529,neg
32206,neg
10887,neg
32967,neg
2683,neg
6125,neg
4235,neg
24181,neg
27237,neg
34201,neg
6398,neg
24521,neg
33228,neg
27568,neg
25381,neg
9258,neg
30013,neg
3936,neg
16416,neg
28203,neg
19029,neg
21520,neg
27380,neg
28140,neg
18575,neg
31091,neg
5039,neg
35643,neg
21659,neg
24411,neg
18338,neg
7692,neg
19716,neg
3262,neg
13522,neg
23424,neg
34778,neg
4880,neg
35325,neg
1941,neg
27058,neg
13186,neg
7930,neg
26529,neg
7995,neg
22959,pos
35361,neg
2304,neg
31620,neg
36021,neg
12959,neg
35921,neg
9601,neg
31779,neg
5620,neg
35085,neg
8802,neg
12478,neg
30918,neg
7990,neg
2928,neg
15913,neg
10254,neg
7938,neg
4027,neg
9950,neg
16242,neg
5448,neg
24226,neg
29721,neg
3655,neg
91,pos
10911,neg
21047,neg
20525,neg
163,pos
5955,neg
19284,neg
13121,neg
6684,neg
11478,neg
31556,neg
8916,neg
13635,neg
13548,neg
25234,neg
8959,neg
28929,neg
31470,neg
10484,neg
33903,neg
24023,neg
36074,neg
5181,neg
9140,neg
12254,neg
16970,neg
20234,neg
30437,neg
15554,neg
10688,neg
12672,neg
4585,neg
10361,neg
16805,neg
10107,neg
25049,neg
32744,neg
19407,neg
16264,neg
24522,neg
13403,neg
4038,neg
2025,neg
18334,neg
26121,neg
21895,neg
27197,neg
2821,neg
28699,neg
26683,neg
33283,neg
34281,neg
8600,neg
22303,neg
274,pos
35817,neg
11110,neg
21069,neg
34085,neg
1283,neg
11873,neg
15372,pos
16135,neg
9910,neg
28918,neg
27100,neg
16533,neg
34383,neg
24731,neg
17885,neg
11148,neg
23805,neg
2505,neg
26818,neg
10217,neg
2618,neg
1094,neg
26510,neg
8072,neg
107,pos
5738,neg
8290,neg
7660,neg
16134,neg
6843,neg
35473,neg
12882,neg
28266,neg
34384,neg
21810,neg
3387,neg
1207,neg
34107,neg
1623,pos
30855,neg
15758,neg
19978,neg
5774,neg
14523,neg
17313,neg
33611,neg
18424,neg
12184,neg
1598,neg
10664,neg
10157,neg
7100,neg
12225,neg
21155,pos
5840,neg
32207,neg
28282,neg
14552,neg
1923,neg
17432,neg
19475,neg
15397,neg
30447,neg
29330,neg
23938,neg
21396,neg
8671,neg
24642,neg
27107,neg
27924,neg
12066,neg
34419,neg
7158,pos
36120,neg
13094,neg
22046,neg
10201,neg
2750,neg
26496,neg
36179,neg
6140,neg
6753,pos
28545,neg
12897,neg
26892,neg
6544,neg
18770,neg
24774,neg
31767,neg
9965,neg
35321,neg
25159,neg
20156,neg
35112,neg
25361,neg
16873,neg
28942,neg
29656,neg
14396,neg
33064,neg
1908,neg
32625,neg
27153,neg
28855,neg
35404,neg
12654,neg
1951,neg
13555,neg
14311,neg
11445,neg
31930,neg
29469,neg
20827,neg
28807,neg
8064,neg
7983,neg
23055,neg
27428,neg
6689,neg
18691,neg
20961,neg
13303,neg
6037,neg
16942,neg
6124,neg
27881,neg
16,pos
5051,neg
13447,neg
537,neg
17662,neg
6513,neg
8907,neg
25947,neg
24769,neg
3264,neg
3523,pos
28226,neg
16666,neg
33895,neg
33928,neg
20021,neg
6939,neg
14051,neg
17739,neg
4329,neg
15840,neg
23494,neg
5684,neg
31788,neg
28708,neg
14823,neg
32043,neg
7927,neg
22076,neg
25948,neg
12874,neg
8486,neg
59,pos
3070,neg
15704,neg
14644,neg
15642,neg
4553,neg
1869,neg
20422,neg
35771,neg
12018,neg
18548,neg
35367,neg
17337,neg
22148,neg
34887,neg
16788,neg
3155,neg
33404,neg
7463,neg
35917,neg
20317,neg
13976,neg
14725,neg
11768,neg
3934,neg
20542,neg
7603,neg
33304,neg
31269,neg
11180,neg
16629,neg
24281,neg
21504,neg
24852,neg
32030,neg
28755,neg
22123,neg
15291,neg
6774,neg
20216,neg
5510,neg
21569,neg
23850,neg
17484,neg
11426,neg
19736,neg
9833,neg
23759,neg
23213,neg
17329,neg
65,pos
31812,neg
15582,neg
33971,neg
31392,neg
5734,neg
19305,neg
15200,neg
17632,neg
16468,neg
35599,neg
20640,pos
1053,neg
10544,neg
17640,neg
31841,neg
35263,neg
31567,neg
22892,neg
12258,neg
19956,neg
28227,neg
32495,neg
3060,neg
3589,neg
24638,neg
5887,neg
5832,neg
22095,neg
2314,neg
27429,neg
8336,neg
30825,neg
29275,neg
21604,neg
11434,neg
10993,neg
14292,neg
19351,neg
34589,neg
14413,neg
9545,neg
20047,neg
28397,neg
25670,neg
6675,neg
5482,neg
14948,neg
21585,neg
28883,neg
128,pos
29795,neg
9047,neg
15736,neg
24733,neg
16457,neg
24984,neg
34017,neg
13647,neg
16720,neg
26576,neg
22931,neg
35464,neg
31862,neg
26876,neg
30968,neg
17270,neg
18990,neg
8322,neg
11716,neg
30358,neg
19015,neg
4678,neg
10906,neg
34969,neg
29089,neg
24942,neg
13333,neg
22004,neg
54,pos
12958,neg
2258,neg
1721,neg
17716,neg
30758,neg
18704,neg
24178,neg
27958,neg
2782,neg
12870,neg
28609,neg
559,neg
9088,neg
34315,neg
20235,neg
27080,neg
20140,pos
13477,neg
8785,neg
302,pos
16021,neg
20755,neg
21440,neg
25077,pos
3938,neg
5338,neg
31421,neg
35506,neg
5665,neg
7163,neg
31020,neg
25148,neg
26698,neg
36097,neg
12073,neg
8914,neg
26766,neg
18927,neg
982,neg
23625,neg
23789,neg
25974,neg
33449,neg
19660,neg
25263,neg
32031,neg
25638,neg
14442,neg
14124,neg
11580,neg
30774,neg
25729,neg
13470,neg
9675,neg
1980,neg
22421,neg
8333,neg
30778,neg
24740,neg
28440,pos
10595,neg
35635,neg
1148,neg
20916,neg
35115,neg
11302,neg
19970,neg
14092,neg
2689,neg
13157,neg
11639,neg
12502,neg
34974,neg
33675,neg
4957,neg
34063,neg
7388,neg
28076,neg
5233,neg
34829,neg
23559,neg
5385,neg
23801,neg
24382,neg
8261,neg
13162,neg
28398,neg
6386,neg
17131,neg
34019,neg
30551,neg
2779,neg
9342,neg
599,neg
6233,neg
31377,neg
8375,neg
8376,neg
6910,neg
4812,neg
26568,neg
850,neg
33305,neg
29102,neg
12609,neg
9782,neg
11919,neg
11998,neg
16036,neg
21697,neg
8687,neg
23738,neg
27599,neg
10873,neg
15591,neg
35888,neg
24829,neg
15728,neg
14041,neg
8145,neg
28777,neg
22537,neg
5843,neg
2196,neg
7431,neg
30954,neg
30843,neg
28837,neg
28772,neg
13480,neg
17332,neg
17704,neg
19341,neg
25997,neg
26202,neg
11670,neg
30581,neg
7627,neg
12780,neg
1061,neg
15079,neg
29514,neg
15363,neg
26029,neg
13506,neg
29712,neg
22780,neg
2417,neg
30021,neg
34377,neg
17385,neg
